name,url,method,headers,expect_status,body_contains,header_assertion,frequency_minutes,regions,alert_on_consecutive_failures,recover_on_consecutive_successes
loc-redirect-fr,https://jonathan-aerts.dev/,GET,"Accept-Language: fr-BE,fr;q=0.9,en;q=0.5",302,,Location: https://jonathan-aerts.dev/fr/,3,all,2,1
loc-redirect-ja,https://jonathan-aerts.dev/,GET,"Accept-Language: ja-JP,ja;q=0.9",302,,Location: https://jonathan-aerts.dev/ja/,3,all,2,1
loc-en-direct,https://jonathan-aerts.dev/,GET,"Accept-Language: en-US,en;q=0.9",200,"lang=""en""",,3,all,2,1
bot-bypass-claude,https://jonathan-aerts.dev/,GET,User-Agent: ClaudeBot/1.0,200,,Location: ABSENT,3,all,2,1
locale-fr-page,https://jonathan-aerts.dev/fr/,GET,,200,"lang=""fr""",Vary: ABSENT,3,all,2,1
locale-ja-page,https://jonathan-aerts.dev/ja/,GET,,200,"lang=""ja""",,3,all,2,1
sitemap-coverage,https://jonathan-aerts.dev/sitemap-index.xml,GET,,200,"https://jonathan-aerts.dev/ AND https://jonathan-aerts.dev/fr/ AND https://jonathan-aerts.dev/ja/",,3,all,2,1
404-handling,https://jonathan-aerts.dev/nonexistent-path-zzz,GET,,404,Page not found,,3,all,2,1
